Time period and codes,Recreation and culture,Audio-visual etc equipment,Audio visual and recording equipment,Photographic etc equipment,Information processing equipment,Recording media,Repairs of audio-visual etc equipment,Other major durables for recreation and culture,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,Maintenance and repairs of other major durables,"Other recreational items and equipment, gardens and pets","Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden, plants and flowers",Pets and related products,Veterinary and other services for pets,Recreational and  cultural services,Recreational and sporting services,Cultural services,Games of chance,"Newspapers, books and stationery",Books,Newspapers,Miscellaneous printed matter,Stationery and drawing materials,"Package holidays
[note 2]","Other Package holidays
[note 2]"
COICOP identifier code,09,09.1,09.1.1,09.1.2,09.1.3,09.1.4,09.1.5,09.2,09.2.1,09.2.2,09.2.3,09.3,09.3.1,09.3.2,09.3.3,09.3.4,09.3.5,09.4,09.4.1,09.4.2,09.4.3,09.5,09.5.1,09.5.2,09.5.3,09.5.4,09.6,09.6.1
CDID identifier code,ADGY,ADGZ,ADWQ,ADWR,ADWS,ADWT,ADWU,ADHL,ADWV,ADWW,ADWX,ADHZ,ADWY,ADWZ,AWTW,ADXB,ADXC,ADIA,ADXD,ADXE,CDEM,ADIC,CDEO,CDEP,ADXI,ADXJ,ADID,ADID 2
2017 Q2,"30,312","4,034","1,111",379,"1,171","1,314",59,"2,840","2,118",84,638,"8,823","2,712","1,525","1,934","1,832",820,"11,425","3,149","5,435","2,841","3,190",690,"1,162",750,588, [x] , [x] 
2017 Q3,"30,761","4,420","1,294",435,"1,313","1,320",58,"2,679","1,955",76,648,"8,146","2,753","1,596","1,142","1,833",822,"12,129","3,064","6,138","2,927","3,387",821,"1,173",657,736, [x] , [x] 
2017 Q4,"33,589","5,902","1,899",612,"1,793","1,544",54,"2,335","1,485",191,659,"9,320","3,661","1,900","1,026","1,883",850,"11,693","2,912","5,797","2,984","4,339","1,418","1,109","1,196",616, [x] , [x] 
2018 Q1,"29,675","4,423","1,368",523,"1,175","1,307",50,"2,479","1,714",97,668,"8,009","2,558","1,325","1,324","1,933",869,"11,471","3,161","5,562","2,748","3,293",815,"1,088",707,683, [x] , [x] 
2018 Q2,"30,272","3,670","1,304",533,988,791,54,"2,556","1,841",38,677,"9,026","2,734","1,335","2,128","1,962",867,"11,765","3,184","5,623","2,958","3,255",701,"1,130",820,604, [x] , [x] 
2018 Q3,"30,835","4,341","1,401",528,"1,019","1,332",61,"2,524","1,753",89,682,"8,062","2,789","1,259","1,191","1,901",922,"12,492","2,869","6,615","3,008","3,416",767,"1,162",625,862, [x] , [x] 
2018 Q4,"35,038","7,054","1,937",633,"1,518","2,904",62,"2,301","1,474",140,687,"9,053","3,666","1,611","1,085","1,810",881,"12,137","2,682","6,489","2,966","4,493","1,474","1,156","1,155",708, [x] , [x] 
2019 Q1,"30,760","3,961","1,449",349,"1,070","1,035",58,"2,663","1,909",64,690,"8,773","2,643","2,055","1,360","1,795",920,"11,924","3,043","5,869","3,012","3,439",825,"1,170",801,643, [x] , [x] 
2019 Q2,"33,356","4,214","1,400",348,"1,079","1,334",53,"2,884","2,064",125,695,"10,007","2,842","2,246","2,105","1,911",903,"12,811","3,543","6,039","3,229","3,440",808,"1,164",827,641, [x] , [x] 
2019 Q3,"33,365","4,468","1,481",342,"1,098","1,498",49,"2,672","1,932",36,704,"9,464","2,897","2,396","1,098","2,101",972,"13,167","3,127","7,098","2,942","3,594",903,"1,172",467,"1,052", [x] , [x] 
2019 Q4,"36,334","5,728","1,984",417,"1,398","1,885",44,"2,422","1,401",306,715,"10,346","3,613","2,464","1,089","2,218",962,"13,042","2,910","7,099","3,033","4,796","1,654","1,135","1,206",801, [x] , [x] 
2020 Q1,"31,362","4,374","1,487",414,"1,388","1,034",51,"2,355","1,708",46,601,"8,865","2,485","1,961","1,217","2,236",966,"12,483","3,253","6,580","2,650","3,285",884,"1,063",677,661, [x] , [x] 
2020 Q2,"24,451","4,429","1,368",335,"1,459","1,224",43,"1,987","1,335",89,563,"8,979","2,458","1,864","2,243","1,798",616,"6,322","1,617","2,407","2,298","2,734",719,841,634,540, [x] , [x] 
2020 Q3,"28,129","4,629","1,582",527,"1,475","1,016",29,"1,805","1,360",107,338,"9,346","2,813","2,276","1,430","1,962",865,"9,218","2,582","4,034","2,602","3,131",715,931,627,858, [x] , [x] 
2020 Q4,"33,430","6,488","2,185",576,"1,930","1,755",42,"1,772","1,167",322,283,"11,193","3,673","2,917","1,101","2,339","1,163","9,838","2,350","4,629","2,859","4,139","1,475",896,935,833, [x] , [x] 
2021 Q1,"28,319","4,052","1,039",240,"1,524","1,218",31,"2,021","1,390",99,532,"9,520","2,426","2,052","1,704","2,272","1,066","9,759","2,474","4,495","2,790","2,967",744,793,659,771, [x] , [x] 
2021 Q2,"32,876","4,357","1,073",226,"1,749","1,259",50,"2,237","1,558",101,578,"11,881","2,947","2,789","2,628","2,391","1,126","11,149","3,064","5,387","2,698","3,252",744,821,759,928, [x] , [x] 
2021 Q3,"33,017","4,363","1,071",249,"1,775","1,223",45,"2,320","1,586",85,649,"10,092","2,847","2,521","1,561","1,947","1,216","12,735","2,947","6,887","2,901","3,507",890,883,624,"1,110", [x] , [x] 
2021 Q4,"37,702","6,280","1,611",383,"2,508","1,738",40,"2,292","1,318",310,664,"11,319","3,713","3,087","1,213","2,043","1,263","13,204","3,090","7,118","2,996","4,607","1,621",846,"1,149",991, [x] , [x] 
2022 Q1,"35,080","4,920","1,031",299,"1,941","1,614",35,"2,432","1,593",108,731,"10,791","2,949","2,469","1,769","2,283","1,321","13,569","3,674","6,852","3,043","3,368",883,822,808,855, [x] , [x] 
2022 Q2,"36,822","4,997","1,067",331,"1,949","1,614",36,"2,655","1,750",112,793,"11,991","3,147","2,711","2,409","2,381","1,343","13,876","3,802","6,934","3,140","3,303",814,812,819,858, [x] , [x] 
