Time period and codes,Total non-durable goods,Food and non-alcoholic beverages,Food,Bread and cereals,Meat,Fish,"Milk, cheese and eggs",Oils and fats,Fruit,Vegetables,"Sugar, confectionery and ice-cream",Other food,Non-alcoholic beverages,"Coffee, tea and cocoa",Fruit and vegetable juices and other soft drinks,"Alcoholic beverages, tobacco and narcotics","Alcoholic beverages 
[note 1]",Spirits,"Wines, cider and perry",Beer,Tobacco,other Tobacco,Narcotics,other Narcotics,"Housing, water, electricity, gas and other fuel",Maintenance and repairs of the dwelling materials,Water supply,"Electricity, gas and other fuels",Electricity,Gas,Liquid fuels,Solid fuels,"Heat energy
[note 6]",Household goods,Non-durable household goods,Health,Pharmaceutical products,Other medical products,Transport,Fuels and lubricants for personal transport equipment,Recreation and culture,"Garden, plants and flowers",Pets and related products,Newspapers,Miscellaneous printed matter,Stationery and drawing materials,Miscellaneous,"Other  appliances, articles and products for personal care"
COICOP identifier code,TND,01,01.1,01.1.1,01.1.2,01.1.3,01.1.4,01.1.5,01.1.6,01.1.7,01.1.8,01.1.9,01.2,01.2.1,01.2.2,02,02.1,02.1.1,02.1.2,02.1.3,02.2,02.2.1,02.3,02.3.1,TND04,04.3.1,04.4.1,04.5,04.5.1,04.5.2,04.5.3,04.5.4,04.5.5,TND05,05.6.1,TND06,06.1.1,06.1.2,TND07,07.2.2,TND09,09.3.3,09.3.4,09.5.2,09.5.3,09.5.4,TND12,12.1.3
CDID identifier code,UTII,ABZV,ABZW,ADST,CDCJ,CDCK,CDCL,CDCM,CDCN,ADSZ,ADTD,ADTH,ADFK,CDCU,CDCV,ADFL,ADFM,UUHX,UTHT,UUMI,ADFN,ADFN 2,MNC2,MNC2 2,LLIX,ATKH,ADVE,ADFX,CDDL,ADVI,ADVJ,ADVK,ADVL,LLIY,ADVU,LLIZ,UTXM,UUPU,LLJA,CDDY,LLJB,AWTW,ADXB,CDEP,ADXI,ADXJ,LLJC,ADXS
2018 Q3,"68,122","26,643","23,931","4,902","4,664","1,118","2,818",652,"2,694","3,485","2,522","1,076","2,712",538,"2,174","11,050","5,334","1,475","2,340","1,519","4,718","4,718",998,998,"6,628",333,"1,270","5,025","3,717",974,204,130,[x],"1,649","1,649","2,029","1,941",88,"9,098","9,098","5,741","1,191","1,901","1,162",625,862,"5,284","5,284"
2018 Q4,"77,862","28,454","25,752","5,251","5,031","1,070","2,848",699,"2,478","3,567","3,619","1,189","2,702",620,"2,082","11,932","6,250","1,998","2,754","1,498","4,711","4,711",971,971,"11,744",360,"1,256","10,128","5,074","4,466",419,169,[x],"1,585","1,585","2,394","2,281",113,"9,095","9,095","5,914","1,085","1,810","1,156","1,155",708,"6,744","6,744"
2019 Q1,"72,107","26,701","24,115","4,840","4,719","1,126","2,845",708,"2,516","3,680","2,551","1,130","2,586",603,"1,983","10,303","4,719","1,389","2,072","1,258","4,651","4,651",933,933,"12,253",312,"1,244","10,697","5,207","4,893",458,139,[x],"1,598","1,598","2,280","2,131",149,"8,117","8,117","5,769","1,360","1,795","1,170",801,643,"5,086","5,086"
2019 Q2,"71,445","27,093","24,332","4,817","4,701","1,138","2,850",647,"2,588","3,822","2,790",979,"2,761",571,"2,190","10,604","5,213","1,429","2,300","1,484","4,473","4,473",918,918,"8,739",368,"1,285","7,086","4,289","2,504",196,97,[x],"1,655","1,655","2,330","2,212",118,"8,920","8,920","6,648","2,105","1,911","1,164",827,641,"5,456","5,456"
2019 Q3,"68,194","26,924","24,031","4,787","4,688","1,194","2,832",679,"2,651","3,705","2,468","1,027","2,893",583,"2,310","10,686","5,295","1,456","2,354","1,485","4,493","4,493",898,898,"6,642",348,"1,295","4,999","3,807",894,201,97,[x],"1,709","1,709","2,204","2,109",95,"8,667","8,667","5,890","1,098","2,101","1,172",467,"1,052","5,472","5,472"
2019 Q4,"77,035","28,813","26,006","5,260","5,108","1,162","3,067",725,"2,360","3,626","3,549","1,149","2,807",649,"2,158","11,527","6,156","1,956","2,719","1,481","4,489","4,489",882,882,"11,316",328,"1,315","9,673","4,778","4,344",408,143,[x],"1,688","1,688","2,270","2,159",111,"8,311","8,311","6,449","1,089","2,218","1,135","1,206",801,"6,661","6,661"
2020 Q1,"74,233","28,949","26,265","5,431","5,151","1,179","3,242",729,"2,562","4,023","2,781","1,167","2,684",624,"2,060","10,653","5,127","1,468","2,282","1,377","4,670","4,670",856,856,"12,354",351,"1,346","10,657","5,375","4,796",379,107,[x],"2,049","2,049","2,062","1,876",186,"7,683","7,683","5,854","1,217","2,236","1,063",677,661,"4,629","4,629"
2020 Q2,"69,247","29,393","26,350","5,328","5,261","1,261","3,188",785,"2,626","4,019","2,776","1,106","3,043",705,"2,338","12,899","7,300","1,991","3,167","2,142","5,051","5,051",548,548,"8,300",351,"1,359","6,590","4,418","1,951",143,78,[x],"2,247","2,247","1,902","1,794",108,"3,662","3,662","6,056","2,243","1,798",841,634,540,"4,788","4,788"
2020 Q3,"67,772","27,853","24,889","4,959","4,636","1,250","3,040",715,"2,662","3,805","2,598","1,224","2,964",584,"2,380","12,581","6,884","1,955","3,016","1,913","4,978","4,978",719,719,"6,586",384,"1,369","4,833","3,649","1,016",88,80,[x],"1,978","1,978","1,863","1,730",133,"5,930","5,930","5,808","1,430","1,962",931,627,858,"5,173","5,173"
2020 Q4,"76,011","29,463","26,549","5,101","5,261","1,182","3,190",758,"2,411","3,650","3,715","1,281","2,914",648,"2,266","13,178","7,486","2,269","3,256","1,961","4,984","4,984",708,708,"11,452",422,"1,355","9,675","5,351","4,006",216,102,[x],"1,793","1,793","2,089","1,915",174,"5,579","5,579","6,104","1,101","2,339",896,935,833,"6,353","6,353"
2021 Q1,"74,996","29,144","26,176","4,878","5,128","1,336","3,062",731,"2,549","3,929","3,304","1,259","2,968",735,"2,233","11,992","6,245","1,845","2,651","1,749","5,090","5,090",657,657,"13,374",351,"1,323","11,700","5,899","5,304",324,173,[x],"1,729","1,729","1,773","1,652",121,"5,720","5,720","6,199","1,704","2,272",793,659,771,"5,065","5,065"
2021 Q2,"76,350","29,038","25,787","4,933","5,148","1,222","3,025",710,"2,764","4,058","2,755","1,172","3,251",704,"2,547","12,685","6,928","1,849","3,012","2,067","5,044","5,044",713,713,"9,531",417,"1,324","7,790","4,797","2,668",243,82,[x],"1,822","1,822","2,001","1,821",180,"8,065","8,065","7,527","2,628","2,391",821,759,928,"5,681","5,681"
2021 Q3,"71,688","28,293","25,054","4,889","5,016","1,171","2,909",659,"2,769","3,816","2,689","1,136","3,239",647,"2,592","12,033","6,322","1,711","2,734","1,877","5,005","5,005",706,706,"6,590",394,"1,297","4,899","3,901",741,170,87,[x],"1,785","1,785","2,113","1,924",189,"9,157","9,157","6,125","1,561","1,947",883,624,"1,110","5,592","5,592"
2021 Q4,"84,381","30,732","27,414","5,442","5,515","1,129","3,058",789,"2,566","3,759","3,859","1,297","3,318",762,"2,556","12,944","7,210","2,241","3,196","1,773","5,034","5,034",700,700,"12,745",428,"1,277","11,040","6,007","4,470",438,125,[x],"1,846","1,846","2,348","2,190",158,"10,071","10,071","6,242","1,213","2,043",846,"1,149",991,"7,453","7,453"
2022 Q1,"79,371","29,059","25,955","5,069","5,225","1,148","3,234",755,"2,703","3,728","2,867","1,226","3,104",720,"2,384","10,924","5,158","1,516","2,307","1,335","5,040","5,040",726,726,"13,670",396,"1,270","12,004","5,849","5,437",579,139,[x],"1,796","1,796","2,004","1,813",191,"9,834","9,834","6,537","1,769","2,283",822,808,855,"5,547","5,547"
2022 Q2,"83,955","30,729","27,356","5,395","5,345","1,180","3,474",756,"2,876","4,144","3,048","1,138","3,373",701,"2,672","11,873","6,128","1,705","2,822","1,601","5,026","5,026",719,719,"12,419",452,"1,312","10,655","6,467","3,710",354,124,[x],"1,750","1,750","2,078","1,941",137,"11,879","11,879","7,279","2,409","2,381",812,819,858,"5,948","5,948"
2022 Q3,"81,650","31,695","28,155","5,475","5,493","1,226","3,816",840,"2,996","4,174","2,864","1,271","3,540",710,"2,830","11,807","6,071","1,654","2,757","1,660","5,032","5,032",704,704,"9,234",416,"1,311","7,507","5,615","1,598",168,126,[x],"1,767","1,767","2,224","2,027",197,"11,938","11,938","6,835","1,627","2,642",878,672,"1,016","6,150","6,150"
2022 Q4,"100,427","35,733","32,098","6,377","6,306","1,271","4,297","1,049","2,819","4,408","4,076","1,495","3,635",813,"2,822","12,831","7,023","2,195","3,243","1,585","5,109","5,109",699,699,"20,857",421,"1,315","19,121","9,099","9,312",539,171,[x],"1,934","1,934","2,572","2,383",189,"11,790","11,790","6,851","1,310","2,750",874,997,920,"7,859","7,859"
2023 Q1,"96,851","34,830","31,387","6,051","6,016","1,279","4,513","1,001","2,985","4,712","3,360","1,470","3,443",801,"2,642","11,062","5,251","1,489","2,385","1,377","5,119","5,119",692,692,"23,436",386,"1,325","21,725","9,537","11,487",532,169,[x],"1,872","1,872","2,237","2,100",137,"10,095","10,095","6,937","1,807","2,794",797,757,782,"6,382","6,382"
2023 Q2,"91,246","36,323","32,442","6,462","6,200","1,285","4,413",957,"3,256","5,096","3,319","1,454","3,881",790,"3,091","12,259","6,287","1,642","2,951","1,694","5,292","5,292",680,680,"13,665",433,"1,464","11,768","7,108","4,309",228,123,[x],"1,939","1,939","2,298","2,208",90,"9,943","9,943","7,875","2,565","2,833",849,777,851,"6,944","6,944"
2023 Q3,"84,381","34,826","31,057","6,164","5,913","1,285","4,230",962,"3,130","4,732","3,182","1,459","3,769",760,"3,009","11,959","6,028","1,582","2,868","1,578","5,262","5,262",669,669,"9,321",401,"1,476","7,444","5,819","1,375",143,107,[x],"1,952","1,952","2,337","2,181",156,"9,994","9,994","7,083","1,668","2,877",888,655,995,"6,909","6,909"
2023 Q4,"96,964","37,262","33,415","6,685","6,357","1,269","4,347","1,117","2,868","4,822","4,281","1,669","3,847",895,"2,952","13,120","7,178","2,201","3,376","1,601","5,286","5,286",656,656,"16,008",410,"1,483","14,115","7,476","5,889",600,150,[x],"1,868","1,868","2,668","2,518",150,"10,322","10,322","6,960","1,306","2,809",858,"1,061",926,"8,756","8,756"
2024 Q1,"94,518","36,122","32,533","6,246","6,021","1,317","4,379","1,092","3,128","5,062","3,745","1,543","3,589",837,"2,752","11,774","5,646","1,601","2,650","1,395","5,484","5,484",644,644,"19,429",389,"1,488","17,552","8,541","8,482",424,105,[x],"1,928","1,928","2,279","2,089",190,"9,053","9,053","7,140","1,784","2,908",828,759,861,"6,793","6,793"
2024 Q2,"89,328","36,320","32,357","6,374","6,044","1,288","4,354","1,058","3,252","5,286","3,264","1,437","3,963",816,"3,147","12,696","6,479","1,704","3,111","1,664","5,583","5,583",634,634,"10,883",427,"1,595","8,861","5,728","2,820",233,80,[x],"2,070","2,070","2,314","2,183",131,"9,989","9,989","7,945","2,474","2,911",846,815,899,"7,111","7,111"
2024 Q3,"85,145","35,640","31,759","6,151","5,977","1,299","4,286","1,067","3,270","4,961","3,317","1,431","3,881",798,"3,083","12,496","6,294","1,680","3,024","1,590","5,580","5,580",622,622,"8,452",404,"1,598","6,450","4,930","1,260",174,86,[x],"2,036","2,036","2,278","2,148",130,"9,677","9,677","7,281","1,637","3,001",898,685,"1,060","7,285","7,285"
2024 Q4,"98,076","37,946","33,990","6,723","6,494","1,299","4,364","1,168","2,968","4,926","4,372","1,676","3,956",895,"3,061","13,739","7,470","2,283","3,589","1,598","5,653","5,653",616,616,"15,754",413,"1,599","13,742","7,126","6,147",376,93,[x],"2,020","2,020","2,560","2,419",141,"9,451","9,451","7,389","1,355","3,060",858,"1,143",973,"9,217","9,217"
